Row Labels
BEH
6
7
8
9
GLAZIK
6
7
8
9
GRE21
6
7
8
9
GRE29
6
7
8
9
LEW
7
8
9
PRU
6
7
8
9
ROG
6
7
8
9
TEN20
6
7
8
9
TOB
6
7
8
9
(blank)
(blank)
Grand Total
