"Site","Month","Blooming.Species","n"
"ROG",9,"Solidago rigida",5
"ROG",9,"Symphyotrichum pilosum",1
"ROG",9,NA,8
"TEN20",6,"Penstemon digitalis",10
"TEN20",6,"STAN",3
"TEN20",6,"Tradescantia ohiensis",1
"TEN20",6,"Trifolium repens",1
"TEN20",6,NA,11
"TEN20",7,"Erigeron strigosus",10
"TEN20",7,"Eryngium yuccifolium",1
"TEN20",7,"Monarda fistulosa",3
"TEN20",7,"Ratibida pinnata",6
"TEN20",7,"Rudbeckia hirta",10
"TEN20",7,NA,7
"TEN20",8,"Chamaecrista fasciculata",24
"TEN20",8,"Desmodium canadense",1
"TEN20",8,"Echinacea purpurea",1
"TEN20",8,"Erigeron strigosus",5
"TEN20",8,"Eryngium yuccifolium",2
"TEN20",8,"Ratibida pinnata",1
"TEN20",8,"Symphyotrichum novae-angliae",2
"TEN20",8,"Verbena stricta",1
"TEN20",8,NA,1
"TEN20",9,"Chamaecrista fasciculata",13
"TEN20",9,"Erigeron strigosus",4
"TEN20",9,"Solidago canadensis",14
"TEN20",9,"Symphyotrichum novae-angliae",1
"TEN20",9,"Symphyotrichum oolentangiensis",2
"TEN20",9,"Symphyotrichum pilosum",8
"TOB",6,"Penstemon digitalis",22
"TOB",6,"Tradescantia virginiana",2
"TOB",6,"Trifolium pratense",8
"TOB",6,NA,1
"TOB",7,"Erigeron strigosus",6
"TOB",7,"Melilotus alba",4
"TOB",7,"Monarda fistulosa",2
"TOB",7,"Pycnanthemum virginianum",8
"TOB",7,"Ratibida pinnata",2
"TOB",7,"Sonchus asper",1
"TOB",7,"Tradescantia ohiensis",1
"TOB",7,"Trifolium pratense",13
"TOB",7,NA,4
"TOB",8,"Chamaecrista fasciculata",13
"TOB",8,"Pycnanthemum tenuifolium",1
"TOB",8,"Ratibida pinnata",6
"TOB",8,"Rudbeckia hirta",1
"TOB",8,"Solidago rigida",2
"TOB",8,"Symphyotrichum laeve",1
"TOB",8,"Trifolium pratense",13
"TOB",8,NA,2
"TOB",9,"Chamaecrista fasciculata",3
"TOB",9,"Melilotus alba",1
"TOB",9,"Solidago canadensis",1
"TOB",9,"Solidago rigida",5
"TOB",9,"Symphyotrichum novae-angliae",1
"TOB",9,"Symphyotrichum oolentangiensis",1
"TOB",9,"Symphyotrichum pilosum",1
"TOB",9,NA,15
