Site,Ag,Natural
PRU,71.94,14.8
BEH,72.01,24.7
TEN20,48.53,43.27
GRE21,77.33,12.81
GRE29,87.75,0.26
ROG,65.55,27.75
LEW,87.45,8.84
TOB,62.87,29.53
GLAZIK,,
