"Month","Site","no.bees"
6,"BEH",53
6,"Glazik",80
6,"GRE21",16
6,"GRE29",60
6,"LEW",23
6,"PRU",73
6,"ROG",55
6,"TEN20",25
6,"TOB",23
7,"BEH",116
7,"Glazik",74
7,"GRE",41
7,"GRE21",44
7,"GRE29",9
7,"LEW",150
7,"PRU",227
7,"ROG",127
7,"TEN20",241
7,"TOB",149
8,"BEH",141
8,"Glazik",237
8,"GRE",1
8,"GRE21",88
8,"GRE29",47
8,"LEW",231
8,"PRU",181
8,"ROG",147
8,"TEN20",172
8,"TOB",130
9,"BEH",66
9,"Glazik",33
9,"GRE21",62
9,"GRE29",16
9,"LEW",196
9,"PRU",116
9,"ROG",69
9,"TEN20",54
9,"TOB",71
